Časová značka,ID.dotaznik,ID.tazatel,ID.supervizor,Date,Incidence.number,A.1,A.2,A.3,B.1,B.2,B.3,B.4,B.5,B.5a,C.1,C.1a,C.1.1,C.1.2,D.1,D.1a,D.1.1,D.1.1a,D.1.2,D.1.3,D.1.4,E.1,E.1.1,E.1.2,E.1.2male,E.1.2female,E.1.3,E.1.3-8,E.1.4,E.1.5,E.1.5-1,F.1,F.1.1,F.1.2,F.1.3,G.1,G.1.1,G.2,G.2.1,G.2.2,G.2.3,G.2.3-15,H.1,H.2,H.2-2,H.3,H.4,H.5,H.6,prepsal,Type.of.incidence,A.2,A.3,B.1,B.2,B.3,B.4,B.5,B.5-answer,C.1,C.1-answer,C.1.1,C.1.2,D.1,D.1-answer,D.1.1,D.1.1-answer,D.1.2,D.1.3,D.1.4,E.1,E.1.1,E.1.2,E.1.3,E.1.4,E.1.4-answer,E.1.5,E.1.5-answer,F1.,F1.1,F.1.1-answer,F.1.2,F.1.3,G.1,G.1.1,G.2,G.2.1,G.2.1-answer,G.2.2,H.1,H.2,H.2-answer,H.3,H.4,H.5,H.6
12.7.2016 15:12:31,PRRD-2933-2-21,ALBR,ONPL,10.5.2016,1,17,"na ubytovne na chodbe stal kocar - pichli gumy, vytahli srouby",6,98,98,98,1,1,,1,poskozene casti kocarku,250,5,2,,,,,,,7,,,,,,,,,,2,,,,2,,2,,,,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.7.2016 16:58:21,PPCR-669-1-25,BAME,ONPL,19.4.2016,1,4,"sedel v baru, ve 21:00 vysel ven a zjistil, ze mu zmizelo zamcene kolo i se zamkem",5,6,5,5,1,7,,1,odcizeno kolo,4000,5,2,,3,,,,,7,,,,,,,,,,2,,,,2,,2,1,"rekl to kamaradum, nijak s tim nenalozili",10;13,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.7.2016 21:54:21,PPRC-754-44-1,ALBR,ALBR,19.4.2016,2,10,"Respondent se stara o stryce v duchodu a o tetu v 2. stupni inv. duchodu jako opatrovnik, stryc a teta posilaji davky na opatrovnika (4 tisice), proto nedostava davku za priznany cast. důchod. a davku v hmotne nouzi",7,4,98,98,1,3,,1,respondent prisel o duchod (cast.) za 3 mesice,12000,7,2,,,,,,,2,3,"1, 2",1,1,7,,20; 21,1,C,2,,2,2,2,,2,1,"rekl to socialce, ktera priznava davky - neresili to",,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.7.2016 22:05:43,PPRC-754-44-1,ALBR,ALBR,19.4.2016,1,4,"Pritelkyne mela kolo v kolarne, i se zamkem zmizelo.",6,9,98,98,1,1,,1,kolo + zamek,2500,6,2,,,,,,,7,,,,,,,,,,2,,,,2,,2,2,,16,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.7.2016 22:44:07,PPRC-683-1-57,VAWA,VAWA,18.4.2016,1,11,"Podvodne prepsani jedne zdravotni pojistovny  na druhou, nerekl proto, ze potreboval kvůli nemoci zdravotni pojistovnu, VZP dalo prozatimni, ale tim se vzdal prostredku + falesny podpis",7,6,98,2,1,21,lekar,2,,,,2,,,,,,,7,,,,,,,,,,2,,,,2,,2,1,"nove pojistovne VZP - telefonovala na ustrednu z pobocky, on ze to je nesmysl, ona je oficialni zadost a oni podaji vysvetleni, to on neudelal",2,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 12:38:32,PPRF-1900-2-46,VAWA,ONPL,19.4.2016,1,18,autobaterie ukradena z garaze z auta,1,12,5,6,1,21,garaz,1,skodu dveri platil majitel,0,4,2,,,,,,,7,,,,,,,,,,2,,,,2,,1,1,oznamil to majiteli garaze,,,"prijeli, sepsali, odjeli a do ted nedali edet",2,spis museli,2,4,4,7,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 12:54:04,PPRC-754-2-59,ALBR,ALBR,19.4.2016,1,9,"Na ubytovne sousedi - alkoholici - pri napomenuti za hluk v noci vyhrozovali zmlacenim (Rom), z chodby kriceli, ze respondentovi rozbiji hubu",5,4,7,6,1,1,,2,,,,1,"psychicka ujma, strach",,,,,3,3,3,"1, 2",2,1,8,50;60,29,98,"2 bili, 1 R",2,,,,2,,2,1,oznamil to na recepci na ubytovne - nic s tim nedelali,,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 14:52:50,PPRC-1-23,ALBR,ALBR,19.4.2016,1,4,ukradene nezamcene kolo u Alberta,1,4,5,3,1,19,,1,ukradene kolo,1200,1,2,,,,,,,7,,,,,,,,,,2,,,,2,,2,3,,2,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 15:15:37,PPRE-1183-2-52,VAWA,ONPL,20.4.2016,1,9,"Deti kricely, ona se ozvala z okna a ozvala se reakce: Zalez ty cerna hubo.",4,4,2,2,1,7,,2,,,,2,,,,,,,1,2,2,,1,6,,1,,,2,,,,1,Povaha samotnych nadavek,2,3,,8,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 17:51:32,PPRA-X-1-22,ONPL,ONPL,20.4.2016,1,22,Prijelo auto a zapalili pudu. Melo ji o cileny utok s rasistickym podtextem. Nikdo jiny z lokality to ale nezminoval.,7,5,98,6,1,6,,2,,,,2,,,,,,,7,,,,,,,,,,2,,,,1,Pry to byli skinheadi,1,,,,,"Vysetruji to, ale si na to serou. U incidentu byli okamzite.",1,,4,4,4,7,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 18:09:58,PPRA-X-1-22,ONPL,ONPL,20.4.2016,2,1,Napadli respondenta a mel zlomena zebra. Melo se jednat o cikany z Ostravy.,7,8,98,6,1,6,,2,,,,1,Zlomena zebra,1,,6,2,7,5,1,1,6,,4,,1,1,R,1,1,1,1,2,,1,,,,,"Hledaji je, vysetruji to.",1,,3,3,4,7,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 18:20:56,PPRA-X-1-22,ONPL,ONPL,22.4.2016,3,11,"Respondentovi sebrali pervitin, kdyz ho chtel prodat.",1,2,5,4,1,6,,1,Pervitin,5000,7,2,,,,,,,4,1,1,4,,3,,1,,,2,,,,2,,2,2,,10,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 18:27:10,PPRA-X-1-22,ONPL,ONPL,20.4.2016,4,23,Pracovni vykoristovani - pracoval cely mesic a nedostal zaplaceno.,7,16,98,98,3,9,,1,Mzda,20000,7,2,,,,,,,1,1,1,1,,5,,27,,,2,,,,2,,2,2,,10,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 18:34:45,PPRA-X-1-22,ONPL,ONPL,20.4.2016,5,9,Ve vlaku nadavali: spinavej cigan.,7,4,98,3,2,13,,2,,,,2,,,,,,,5,1,,,,2,,1,1,Bili,2,,,,1,Typ nadavky,2,2,,9,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 18:48:16,PPRB-22-1-64,ONPL,ONPL,20.4.2016,1,9,Na respondenta pokrikuji na ulici a nadavaji mu.,1,4,2,3,1,7,,2,,,,2,,,,,,,1,1,1,1,,6,,1,,,2,,,,1,Typ nadavky,2,2,,2,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 19:07:11,PPAA-1240-2-36,ONRA,PEKU,23.5.2016,1,7,pujcil a chtel jednou tolik,6,15,98,98,1,1,,2,,,,2,,,,,,,1,99,99,,,98,,27,1,R,2,,,,2,,2,2,,2,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 20:29:58,PPRC-754-1-51,ONPL,ONPL,19.4.2016,1,11,Pujcuje po mensich castkach lidem na ubytovne. Stava se to opakovane a jsou to stokoruny.,1,8,98,6,1,1,,1,,1500,1,2,,,,,,,1,1,1,1,,6,,25,,,2,,,,2,,2,,,2,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 20:53:25,PPRE-2332-1-40,ONPL,ONPL,10.5.2016,1,20,"Na Vaclavskem namesti bylo respondentovi vyhrozovano PCR, at odejde pryc, nebo ze mu rozbijou hubu.",7,15,98,5,3,7,,2,,,,2,,,,,,,2,1,1,2,,98,,1,1,Policie,1,13,2,2,1,Protoze jsou rasisti,2,2,,6,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 21:15:59,PPRE-2332-1-40,ONPL,ONPL,10.5.2016,2,21,Respondentovi nabizeli heroin v Brne Olasi na Cejlu.,7,3,6,5,3,14,,2,,,,2,,,,,,,1,1,1,1,,4,,27,,,1,98,2,2,2,,2,3,,6,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 21:22:28,PPRE-2332-1-40,ONPL,ONPL,10.5.2016,3,9,"Neonacista vyskocil z Audi a chtel se prat, kricel na ne: Vy cikani smradlavi, a vyhrozoval, ze je zabije.",7,4,3,3,1,6,,2,,,,2,,,,,,,4,1,1,4,,4,,1,,,1,98,2,2,1,Neonacisticka symbolika,2,2,,6,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 22:30:46,PPAA-1240-1-23,ONRA,PEKU,23.5.2016,1,1,"Sedeli jsme venku, nadavali kolemjdouci...asi byli opili",2,13,98,4,1,10,,2,,,,2,,,,,,,1,1,1,1,,3,,1,1,C,2,,,,2,,2,2,,2,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7.2016 22:39:30,PPAA-1240-1-23,ONRA,PEKU,23.5.2016,2,22,Nabizeni drog na ulici,6,3,7,6,1,7,,2,,,,2,,,,,,,5,1,1,7,,3,,25,98,,2,,,,2,,2,3,,5,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
